Date and time: 
Participant #: 
Day: 
Age: 
_____________________________________________________________________________________________________________________________________________________________________
Trial#  , Correct , Button Correct , Button Pressed , Level, Score, #RedWeights, #YellowWeights ,TimeSet, TimeChoose, TimeTotal, RedPos1, RedPos2, YellPos1, YellPos2
_____________________________________________________________________________________________________________________________________________________________________
-2,5,2,0|-1,0,0,0
-4,0,2,0|4,0,0,0
-3,0,2,0|3,0,0,0
-5,0,2,0|5,0,0,0
-4,0,2,0|4,0,0,0
0,0,2,0|-3,3,0,0
-3,1,2,0|0,0,0,0
0,0,2,0|-3,4,0,0
-1,1,2,0|0,0,0,0
0,0,2,0|-6,5,0,0
0,2,2,0|-2,0,0,0
0,3,2,0|-2,0,0,0
-3,0,2,0|5,0,0,0
-6,0,2,0|0,1,0,0
0,1,2,0|-3,0,0,0
-6,0,2,0|0,1,0,0
0,2,2,0|-6,0,0,0
-1,0,2,0|5,0,0,0
0,5,2,0|-5,0,0,0
-6,0,2,0|5,0,0,0
-2,0,2,0|3,0,0,0
-1,0,2,0|0,3,0,0
0,4,2,0|-1,0,0,0
0,2,2,0|-2,0,0,0
-1,0,2,0|5,0,0,0
-4,1,0,0|-6,2,0,0
-4,-3,0,0|2,1,0,0
